makespan,loadBalance,flowtime,communicationCost,waitingTime
235.0,1.023965142,5458.0,333.0,984.0
236.0,1.123809524,5825.0,305.0,915.0
208.0,1.004830918,4982.0,352.0,1133.0
243.0,1.018867925,6309.0,299.0,1265.0
226.0,1.027272727,5328.0,313.0,775.0
183.0,1.008264463,3940.0,338.0,864.0
202.0,1.144475921,4470.0,309.0,692.0
228.0,1.096153846,5416.0,303.0,964.0
250.0,1.01010101,6322.0,289.0,1119.0
256.0,1.024,6134.0,318.0,1577.0
242.0,1.038626609,6273.0,306.0,1283.0
258.0,1.081761006,6065.0,374.0,1294.0
229.0,1.09047619,4862.0,361.0,992.0
214.0,1.021479714,4958.0,302.0,936.0
230.0,1.050228311,5025.0,347.0,706.0
217.0,1.048309179,5399.0,349.0,884.0
200.0,1.081081081,4432.0,314.0,703.0
177.0,1.032069971,4186.0,306.0,666.0
236.0,1.002123142,5797.0,348.0,983.0
245.0,1.018711019,5451.0,391.0,1009.0
257.0,1.055441478,5465.0,308.0,1213.0
238.0,1.037037037,5834.0,373.0,1403.0
206.0,1.027431421,4754.0,379.0,798.0
176.0,1.011494253,4525.0,259.0,1001.0
208.0,1.007263923,5111.0,289.0,1129.0
225.0,1.046511628,5631.0,294.0,949.0
228.0,1.050691244,5305.0,361.0,1091.0
243.0,1.058823529,5652.0,332.0,1066.0
209.0,1.014563107,5111.0,370.0,1335.0
197.0,1.059139785,5008.0,227.0,1418.0
231.0,1.006535948,5515.0,311.0,1175.0
221.0,1.016091954,5798.0,314.0,1008.0
216.0,1.018867925,5227.0,321.0,896.0
244.0,1.025210084,5373.0,330.0,1170.0
201.0,1.049608355,4791.0,335.0,1178.0
231.0,1.006535948,5992.0,373.0,1201.0
218.0,1.006928406,5652.0,329.0,894.0
224.0,1.041860465,4809.0,371.0,788.0
223.0,1.01594533,5348.0,367.0,1068.0
235.0,1.044444444,5542.0,335.0,1027.0
239.0,1.059866962,5235.0,313.0,924.0
222.0,1.135549872,5194.0,295.0,1105.0
221.0,1.0,4895.0,365.0,970.0
231.0,1.089622642,4995.0,311.0,1104.0
233.0,1.104265403,5886.0,253.0,992.0
199.0,1.036458333,4541.0,362.0,792.0
236.0,1.134615385,5510.0,397.0,1204.0
252.0,1.001988072,5787.0,305.0,1094.0
237.0,1.014989293,5690.0,387.0,1469.0
253.0,1.187793427,5813.0,270.0,1082.0
222.0,1.023041475,5062.0,382.0,893.0
231.0,1.038202247,5264.0,383.0,1206.0
262.0,1.058585859,6238.0,310.0,1420.0
223.0,1.037209302,5158.0,367.0,907.0
212.0,1.004739336,5366.0,295.0,1145.0
