makespan,loadBalance,flowtime,communicationCost,waitingTime
23.0,1.254545455,117.0,14.0,20.0
20.0,1.25,111.0,24.0,28.0
23.0,1.38,105.0,24.0,25.0
25.0,1.666666667,124.0,15.0,29.0
21.0,1.285714286,99.0,15.0,17.0
23.0,1.352941176,103.0,28.0,24.0
34.0,1.36,146.0,34.0,49.0
27.0,1.246153846,123.0,35.0,26.0
24.0,1.756097561,114.0,25.0,24.0
21.0,1.235294118,98.0,19.0,22.0
28.0,1.235294118,133.0,22.0,37.0
24.0,1.285714286,124.0,16.0,27.0
29.0,1.403225806,121.0,32.0,30.0
26.0,1.2,114.0,35.0,20.0
28.0,1.615384615,119.0,34.0,24.0
28.0,1.473684211,129.0,26.0,42.0
26.0,1.21875,115.0,21.0,23.0
34.0,1.2,147.0,33.0,48.0
23.0,1.210526316,121.0,25.0,34.0
26.0,1.857142857,121.0,22.0,38.0
32.0,1.432835821,136.0,35.0,32.0
31.0,1.223684211,139.0,29.0,38.0
27.0,1.760869565,137.0,19.0,33.0
29.0,1.242857143,142.0,16.0,41.0
28.0,1.37704918,142.0,27.0,46.0
23.0,1.277777778,100.0,24.0,20.0
31.0,1.660714286,136.0,21.0,51.0
25.0,1.25,117.0,33.0,28.0
25.0,1.530612245,109.0,29.0,18.0
25.0,1.315789474,107.0,19.0,25.0
27.0,1.6875,121.0,23.0,25.0
17.0,1.214285714,81.0,15.0,15.0
26.0,1.529411765,124.0,24.0,30.0
34.0,1.2,148.0,35.0,37.0
23.0,1.568181818,117.0,22.0,40.0
21.0,1.5,100.0,20.0,19.0
25.0,1.744186047,111.0,19.0,24.0
27.0,1.306451613,117.0,24.0,27.0
25.0,1.271186441,110.0,29.0,24.0
33.0,1.596774194,171.0,30.0,56.0
24.0,1.469387755,113.0,15.0,21.0
35.0,1.346153846,167.0,23.0,61.0
30.0,1.2,133.0,35.0,26.0
24.0,1.411764706,126.0,25.0,24.0
33.0,1.394366197,146.0,34.0,44.0
28.0,1.473684211,113.0,27.0,31.0
30.0,2.0,138.0,21.0,46.0
31.0,1.603448276,164.0,26.0,53.0
27.0,2.25,132.0,6.0,41.0
35.0,1.296296296,166.0,30.0,57.0
23.0,1.38,94.0,21.0,19.0
29.0,1.242857143,140.0,20.0,43.0
26.0,1.529411765,110.0,14.0,18.0
26.0,1.5,114.0,29.0,19.0
36.0,1.459459459,157.0,28.0,56.0
28.0,1.272727273,140.0,35.0,44.0
36.0,1.44,164.0,14.0,53.0
30.0,1.525423729,130.0,28.0,39.0
35.0,1.363636364,153.0,25.0,50.0
26.0,1.3,109.0,34.0,26.0
24.0,1.24137931,106.0,25.0,25.0
30.0,2.0,140.0,20.0,41.0
35.0,1.640625,153.0,25.0,56.0
28.0,1.68,118.0,20.0,28.0
25.0,1.666666667,121.0,16.0,29.0
25.0,1.293103448,106.0,35.0,26.0
22.0,1.346938776,119.0,13.0,25.0
23.0,1.131147541,131.0,29.0,36.0
31.0,1.1625,142.0,36.0,37.0
23.0,1.408163265,99.0,21.0,18.0
21.0,1.166666667,111.0,30.0,29.0
28.0,1.272727273,128.0,33.0,32.0
26.0,1.21875,124.0,34.0,32.0
26.0,1.5,106.0,26.0,24.0
27.0,1.327868852,112.0,34.0,25.0
24.0,1.333333333,123.0,15.0,26.0
35.0,1.280487805,148.0,24.0,33.0
27.0,1.396551724,120.0,27.0,30.0
21.0,1.369565217,96.0,24.0,15.0
29.0,1.279411765,130.0,34.0,28.0
23.0,1.326923077,94.0,25.0,16.0
26.0,1.278688525,111.0,32.0,28.0
26.0,1.5,115.0,21.0,23.0
27.0,1.208955224,143.0,24.0,49.0
27.0,1.285714286,128.0,20.0,27.0
34.0,1.172413793,162.0,23.0,39.0
25.0,1.25,116.0,33.0,27.0
29.0,1.242857143,116.0,20.0,27.0
22.0,1.245283019,103.0,20.0,20.0
24.0,1.5,124.0,22.0,26.0
26.0,1.258064516,111.0,35.0,24.0
28.0,1.615384615,115.0,21.0,38.0
33.0,1.434782609,144.0,13.0,39.0
35.0,1.640625,150.0,26.0,46.0
25.0,1.153846154,124.0,35.0,40.0
36.0,1.714285714,175.0,24.0,74.0
29.0,1.673076923,121.0,19.0,26.0
38.0,1.373493976,183.0,34.0,67.0
29.0,1.279411765,129.0,26.0,29.0
24.0,1.411764706,127.0,24.0,29.0
28.0,1.615384615,123.0,29.0,27.0
26.0,1.3,125.0,29.0,24.0
27.0,1.723404255,109.0,25.0,28.0
22.0,1.32,95.0,15.0,19.0
25.0,1.339285714,117.0,19.0,22.0
29.0,1.279411765,123.0,29.0,40.0
18.0,1.285714286,88.0,25.0,16.0
23.0,1.232142857,103.0,20.0,24.0
30.0,1.232876712,134.0,35.0,36.0
26.0,1.418181818,109.0,28.0,24.0
21.0,1.575,102.0,22.0,15.0
25.0,1.25,130.0,31.0,31.0
28.0,1.4,115.0,23.0,25.0
30.0,1.40625,144.0,26.0,33.0
32.0,1.215189873,142.0,19.0,39.0
25.0,1.363636364,104.0,24.0,23.0
25.0,1.293103448,123.0,21.0,33.0
25.0,1.744186047,118.0,19.0,29.0
25.0,1.293103448,107.0,25.0,23.0
22.0,1.375,108.0,28.0,29.0
30.0,1.304347826,128.0,33.0,29.0
33.0,1.5,145.0,15.0,40.0
25.0,1.293103448,114.0,27.0,25.0
28.0,1.3125,118.0,20.0,23.0
25.0,1.5,104.0,15.0,24.0
29.0,1.474576271,125.0,28.0,27.0
22.0,1.466666667,98.0,28.0,17.0
24.0,1.756097561,113.0,19.0,23.0
34.0,1.2,153.0,37.0,46.0
21.0,1.188679245,101.0,20.0,24.0
28.0,1.68,125.0,14.0,32.0
23.0,1.4375,106.0,25.0,24.0
27.0,1.191176471,128.0,26.0,27.0
23.0,1.408163265,98.0,23.0,19.0
23.0,1.131147541,116.0,34.0,34.0
25.0,1.973684211,122.0,14.0,37.0
25.0,1.25,121.0,28.0,32.0
23.0,1.210526316,124.0,19.0,29.0
34.0,1.59375,153.0,30.0,46.0
31.0,1.660714286,131.0,18.0,35.0
23.0,1.38,97.0,29.0,19.0
21.0,1.3125,96.0,18.0,16.0
28.0,1.2,123.0,24.0,23.0
34.0,1.342105263,152.0,35.0,49.0
33.0,1.596774194,153.0,31.0,44.0
27.0,1.265625,115.0,26.0,30.0
25.0,1.271186441,113.0,26.0,29.0
21.0,1.536585366,102.0,24.0,20.0
23.0,1.232142857,123.0,29.0,28.0
24.0,1.309090909,105.0,21.0,20.0
24.0,1.24137931,124.0,29.0,27.0
20.0,1.304347826,94.0,28.0,13.0
29.0,1.426229508,131.0,29.0,33.0
35.0,1.346153846,167.0,34.0,57.0
28.0,1.4,140.0,24.0,39.0
21.0,1.4,87.0,16.0,17.0
23.0,1.468085106,113.0,22.0,25.0
30.0,1.698113208,151.0,24.0,41.0
29.0,1.403225806,128.0,29.0,31.0
25.0,1.271186441,110.0,30.0,21.0
23.0,1.277777778,94.0,27.0,20.0
23.0,1.38,109.0,24.0,31.0
30.0,1.451612903,125.0,17.0,27.0
31.0,1.223684211,127.0,26.0,28.0
24.0,1.6,117.0,20.0,27.0
31.0,1.409090909,128.0,28.0,29.0
26.0,1.733333333,119.0,21.0,42.0
23.0,1.301886792,107.0,30.0,22.0
29.0,1.175675676,148.0,31.0,36.0
